"flow","year","changepoint"
1120,1871,"0"
1160,1872,"0"
963,1873,"0"
1210,1874,"0"
1160,1875,"0"
1160,1876,"0"
813,1877,"0"
1230,1878,"0"
1370,1879,"0"
1140,1880,"0"
995,1881,"0"
935,1882,"0"
1110,1883,"0"
994,1884,"0"
1020,1885,"0"
960,1886,"0"
1180,1887,"0"
799,1888,"0"
958,1889,"0"
1140,1890,"0"
1100,1891,"0"
1210,1892,"0"
1150,1893,"0"
1250,1894,"0"
1260,1895,"0"
1220,1896,"0"
1030,1897,"0"
1100,1898,"0"
774,1899,"1"
840,1900,"1"
874,1901,"1"
694,1902,"1"
940,1903,"1"
833,1904,"1"
701,1905,"1"
916,1906,"1"
692,1907,"1"
1020,1908,"1"
1050,1909,"1"
969,1910,"1"
831,1911,"1"
726,1912,"1"
456,1913,"1"
824,1914,"1"
702,1915,"1"
1120,1916,"1"
1100,1917,"1"
832,1918,"1"
764,1919,"1"
821,1920,"1"
768,1921,"1"
845,1922,"1"
864,1923,"1"
862,1924,"1"
698,1925,"1"
845,1926,"1"
744,1927,"1"
796,1928,"1"
1040,1929,"1"
759,1930,"1"
781,1931,"1"
865,1932,"1"
845,1933,"1"
944,1934,"1"
984,1935,"1"
897,1936,"1"
822,1937,"1"
1010,1938,"1"
771,1939,"1"
676,1940,"1"
649,1941,"1"
846,1942,"1"
812,1943,"1"
742,1944,"1"
801,1945,"1"
1040,1946,"1"
860,1947,"1"
874,1948,"1"
848,1949,"1"
890,1950,"1"
744,1951,"1"
749,1952,"1"
838,1953,"1"
1050,1954,"1"
918,1955,"1"
986,1956,"1"
797,1957,"1"
923,1958,"1"
975,1959,"1"
815,1960,"1"
1020,1961,"1"
906,1962,"1"
901,1963,"1"
1170,1964,"1"
912,1965,"1"
746,1966,"1"
919,1967,"1"
718,1968,"1"
714,1969,"1"
740,1970,"1"
